Maturity_Stage,Class,Ripeness,Replicate,Code,ESR,Maturity_DAB,Actual_Ripening_Status,Day_Harvested,Day_Ripen,Actual_Ripening_Days,Day_Overripe,Actual_Days_Capsule_Splitting,Pulp_Color,Pliability_Harvest,Pliability_EOS,Pedicel_Absicion,Locules,Dehisence,VQR_Harvest,VQR_End_Storage,Aroma_Harvest,Aroma_End_Storage,Disease,Harvest_Rind_Color,Rind_Color_EOS,Harvest_Weight,Weight_End_Storage,Weight_Loss,Average_Weight_Loss,Horizontal_Circumference,Vertical_Circumference,Pedicel_Diameter,Firmness_R1,Firmness_R2,Firmness_R3,Firmness_AVE,TSS_R1,TSS_R2,TSS_R3,TSS_AVE,Dry_Matter_R1,Dry_Matter_R2,Dry_Matter_R3,Dry_Matter_AVE,ESR_NL_Flag,ESR_Days
Immature,A,Unripe,R1,IM_CA_UN_1,13D (NL),101.0,Unripe,2025-09-05,,,,,Creamy White,1.0,,,5.0,1.0,8.0,,1.0,,1.0,Green,,2.69,,,,55.8,64.5,21.0,11.59,11.0,12.33,11.64,3.0,3.35,3.2,3.18,33.0,32.0,25.0,30.0,1.0,13.0
Immature,A,Unripe,R2,IM_CA_UN_2,9D,101.0,Unripe,2025-09-05,,,,,White,1.0,,,5.0,1.0,9.0,,1.0,,1.0,Green,,2.26,,,,53.4,58.3,18.7,12.59,11.27,8.82,10.89,2.95,2.7,2.93,2.86,27.0,26.5,26.5,26.67,0.0,9.0
Immature,A,Unripe,R3,IM_CA_UN_3,13D (NL),101.0,Unripe,2025-09-05,,,,,White,1.0,,,4.0,1.0,8.0,,1.0,,1.0,Green,,1.93,,,,51.3,57.0,20.0,9.67,10.39,8.72,9.59,2.13,2.08,2.03,2.08,15.5,14.5,15.5,15.17,1.0,13.0
Immature,A,Unripe,R4,IM_CA_UN_4,18D,101.0,Unripe,2025-09-05,,,,,"Light Yellow (1-3), White (2)",1.0,,,5.0,1.0,8.0,,1.0,,1.0,More Green Than Brown,,2.74,,,,56.6,60.4,19.0,9.9,11.26,9.73,10.3,2.8,2.83,3.18,2.94,27.5,27.0,24.5,26.33,0.0,18.0
Immature,A,Unripe,R5,IM_CA_UN_5,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,,5.0,1.0,9.0,,1.0,,1.0,Green,,2.6,,,,59.4,67.1,20.35,9.49,12.4,9.28,10.39,4.23,4.0,3.83,4.02,34.5,33.5,31.0,33.0,1.0,13.0
Immature,A,Unripe,R6,IM_CA_UN_6,13D,101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,,5.0,1.0,9.0,,1.0,,1.0,Green,,2.37,,,,56.8,60.7,21.5,11.83,8.74,8.79,9.78,2.98,3.73,3.6,3.44,32.0,31.5,30.0,31.17,0.0,13.0
Immature,A,Unripe,R7,IM_CA_UN_7,18D,101.0,Unripe,2025-09-05,,,,,White,1.0,,,4.5,1.0,8.0,,1.0,,1.0,Green,,3.28,,,,62.5,68.6,20.0,9.47,8.98,9.25,9.23,3.0,3.03,3.15,3.06,16.5,17.5,18.0,17.33,0.0,18.0
Immature,A,Ripe,R8,IM_CA_RI_8,12D,101.0,Ripe,2025-09-05,,7.0,,,Yellow (1-3),1.0,4.0,4.0,4.5,1.0,9.0,5.0,1.0,3.0,1.0,Green,More Green than Brown,2.04,1.7,16.67,,51.8,60.9,18.0,0.49,0.36,0.43,0.43,9.73,9.0,9.3,9.34,41.5,41.5,40.0,41.0,0.0,12.0
Immature,A,Ripe,R9,IM_CA_RI_9,13D,101.0,Ripe,2025-09-05,,7.0,,,Yellow (1-3),1.0,4.0,4.0,5.0,1.0,8.0,4.0,1.0,4.0,1.0,Green,More Green than Brown with Yellow Sutures,3.1,2.53,18.39,,55.1,70.0,24.2,0.31,0.27,0.5,0.36,8.8,7.45,7.28,7.84,34.5,33.0,33.0,33.5,0.0,13.0
Immature,A,Ripe,R10,IM_CA_RI_10,12D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow(1-3),1.0,2.0,5.0,4.0,1.0,9.0,3.0,1.0,4.0,2.0,Green,More Brown than Green with Yellow Sutures,1.62,1.32,18.52,,48.3,55.1,17.4,0.55,0.47,0.45,0.49,6.8,5.93,7.63,6.79,34.5,30.5,31.0,32.0,0.0,12.0
Immature,A,Ripe,R11,IM_CA_RI_11,13D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow (1-3),1.0,2.0,2.0,5.0,1.0,9.0,4.0,1.0,4.0,2.0,Green,Green,2.76,2.25,18.48,,58.1,65.6,22.1,0.55,0.26,0.22,0.34,,,,,26.5,26.5,27.5,26.83,0.0,13.0
Immature,A,Ripe,R12,IM_CA_RI_12,12D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow (1-3),1.0,2.0,4.0,5.0,1.0,9.0,3.0,1.0,2.0,2.0,Green,More Green than Brown,2.42,2.01,16.94,,53.7,66.3,19.7,0.32,0.56,0.35,0.41,7.75,8.98,8.13,8.29,45.0,37.0,45.5,42.5,0.0,12.0
Immature,A,Ripe,R13,IM_CA_RI_13,12D,101.0,Ripe,2025-09-05,,7.0,,,Creamy White (1-3),1.0,2.0,4.0,5.0,1.0,9.0,6.0,1.0,4.0,1.0,Green,More Brown than Green,1.59,1.31,17.61,,49.5,55.1,14.7,0.82,0.4,0.45,0.55,6.1,6.23,5.65,5.99,27.0,27.5,28.5,27.67,0.0,12.0
Immature,A,Ripe,R14,IM_CA_RI_14,13D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow (1-3),1.0,3.0,4.0,4.5,1.0,9.0,5.0,1.0,4.0,1.0,Green,More Green than Brown,2.22,1.87,15.77,17.48,56.0,59.2,18.3,0.4,0.42,0.44,0.42,7.48,7.7,8.73,7.97,30.5,33.0,34.5,32.67,0.0,13.0
Immature,A,Overripe,R15,IM_CA_OR_15,13D,101.0,Overripe,2025-09-05,,,,7.0,Yellow (1-3),1.0,4.0,3.0,5.0,,9.0,3.0,1.0,4.0,2.0,More Green Than Brown,More Brown than Green,2.59,2.29,11.58,23.18,57.9,66.7,21.75,0.4,0.36,0.35,0.37,10.68,10.0,8.65,9.78,34.0,33.5,33.0,33.5,0.0,13.0
Immature,A,Overripe,R16,IM_CA_OR_16,13D,101.0,Overripe,2025-09-05,,,,10.0,,1.0,,,5.0,,9.0,1.0,1.0,5.0,,Green,,2.25,1.64,27.11,,54.0,60.1,20.3,,,,,,,,,,,,,0.0,13.0
Immature,A,Overripe,R17,IM_CA_OR_17,12D,101.0,Overripe,2025-09-05,,,,10.0,,1.0,,,5.0,,8.0,2.0,1.0,5.0,,More Green Than Brown,,1.99,1.46,26.63,,49.8,58.8,18.4,0.37,0.34,0.0,0.24,,,,,,,,,0.0,12.0
Immature,A,Overripe,R18,IM_CA_OR_18,13D,101.0,Overripe,2025-09-05,,,,13.0,Yellow,1.0,3.0,4.0,5.0,,8.0,4.0,1.0,5.0,2.0,Green,"Dark Green, Light Green, Lower Half, Yellow Bottom",2.26,1.61,28.76,,55.2,61.7,19.5,,,,,7.28,7.63,7.3,7.4,,,,,0.0,13.0
Immature,A,Overripe,R19,IM_CA_OR_19,13D,101.0,Disease,2025-09-05,,,,,,1.0,,,5.0,,9.0,,1.0,5.0,,Green,,3.79,,,,63.2,74.3,,,,,,,,,,,,,,0.0,13.0
Immature,A,Overripe,R20,IM_CA_OR_20,13D,101.0,Overripe,2025-09-05,,,,7.0,Light Yellow,1.0,3.0,3.0,4.0,,9.0,3.0,1.0,4.0,1.0,More Green Than Brown,More Brown than Green with Yellow Orange sutures,2.03,1.69,16.75,,50.9,60.9,19.0,0.26,0.37,0.38,0.34,9.43,8.88,8.6,8.97,37.5,38.0,36.0,37.17,0.0,13.0
Immature,A,Overripe,R21,IM_CA_OR_21,13D,101.0,Overripe,2025-09-05,,,,10.0,Light Yellow (1-3),1.0,,,5.0,,9.0,1.0,1.0,,,More Green Than Brown,,2.69,1.93,28.25,,56.5,67.7,19.3,,,,,,,,,,,,,0.0,13.0
Immature,B,Unripe,R22,IM_CB_UN_22,13D (NL),101.0,Unripe,2025-09-05,,,,,Creamy White,1.0,,1.0,4.0,1.0,7.0,,1.0,,1.0,More Green Than Brown,,2.46,1.46,,,55.8,58.3,19.3,11.26,12.79,10.93,11.66,3.95,4.2,4.1,4.08,36.0,34.0,35.0,35.0,1.0,13.0
Immature,B,Unripe,R23,IM_CB_UN_23,13D (NL),101.0,Unripe,2025-09-05,,,,,Creamy White,1.0,,1.0,4.5,1.0,9.0,,1.0,,1.0,Green,,2.68,,,,56.7,62.7,18.0,12.26,12.11,11.55,11.98,3.65,3.43,3.68,3.59,33.0,32.0,31.0,32.0,1.0,13.0
Immature,B,Unripe,R24,IM_CB_UN_24,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,4.0,1.0,7.0,,1.0,,1.0,Green,,2.3,,,,54.2,62.5,21.55,12.64,11.62,11.86,12.04,3.0,2.53,2.68,2.74,31.5,32.0,33.0,32.17,1.0,13.0
Immature,B,Unripe,R25,IM_CB_UN_25,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,5.0,1.0,8.0,,1.0,,1.0,Green,,2.64,,,,56.5,62.7,21.0,12.13,13.57,12.56,12.75,4.0,3.9,4.08,3.99,35.0,36.0,36.5,35.83,1.0,13.0
Immature,B,Unripe,R26,IM_CB_UN_26,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,,1.0,7.0,,1.0,,1.0,More Green Than Brown,,2.0,,,,52.4,60.1,20.5,3.76,4.65,3.03,3.81,3.8,3.93,4.15,3.96,33.0,36.0,33.5,34.17,1.0,13.0
Immature,B,Unripe,R27,IM_CB_UN_27,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,,1.0,7.0,,1.0,,1.0,Green,,2.26,,,,52.4,61.5,21.85,11.31,10.25,9.61,10.39,3.5,3.78,3.53,3.6,32.0,29.5,31.0,30.83,1.0,13.0
Immature,B,Unripe,R28,IM_CB_UN_28,13D (NL),101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,4.5,1.0,9.0,,1.0,,1.0,Green,,2.13,,,,50.0,58.7,18.5,11.54,10.66,10.95,11.05,3.83,3.93,3.35,3.7,32.0,32.0,34.5,32.83,1.0,13.0
Immature,B,Ripe,R29,IM_CB_RI_29,18D,101.0,Ripe,2025-09-05,,7.0,,,Yellow (1-3),1.0,2.0,4.0,5.0,1.0,8.0,3.0,1.0,2.0,2.0,Green,More Green than Brown,2.24,1.9,15.18,18.97,56.1,59.1,19.0,0.64,0.57,0.44,0.55,7.4,7.53,8.53,7.82,38.0,41.5,35.0,38.17,0.0,18.0
Immature,B,Ripe,R30,IM_CB_RI_30,18D,101.0,Ripe,2025-09-05,,10.0,,,Yellow,1.0,2.0,5.0,,1.0,8.0,3.0,1.0,3.0,2.0,Green,Green,2.87,2.28,20.56,,56.1,67.4,19.8,,,,,6.78,6.65,7.0,6.81,28.0,27.0,26.0,27.0,0.0,18.0
Immature,B,Ripe,R31,IM_CB_RI_31,13D,101.0,Ripe,2025-09-05,,10.0,,,,1.0,3.0,5.0,,1.0,9.0,2.0,1.0,4.0,3.0,Green,More Green than Brown with Yellow Sutures,2.53,1.97,22.13,,52.6,66.1,16.4,0.66,0.54,0.35,0.52,,,,,,,,,0.0,13.0
Immature,B,Ripe,R32,IM_CB_RI_32,13D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow (1-3),1.0,3.0,3.0,,1.0,9.0,5.0,1.0,4.0,1.0,More Green Than Brown,More Brown than Green,1.75,1.46,16.57,,49.7,56.5,17.4,0.41,0.52,0.41,0.45,8.05,8.83,8.35,8.41,35.5,37.5,35.5,36.17,0.0,13.0
Immature,B,Ripe,R33,IM_CB_RI_33,13D,101.0,Ripe,2025-09-05,,7.0,,,Yellow Orange (1-3),1.0,2.0,1.0,3.5,1.0,9.0,4.0,1.0,3.0,2.0,More Green Than Brown,More Green than Brown,2.35,1.99,15.32,,54.5,59.8,20.0,1.23,0.44,0.55,0.74,8.48,7.48,8.95,8.3,37.5,44.0,35.5,39.0,0.0,13.0
Immature,B,Ripe,R34,IM_CB_RI_34,13D,101.0,Ripe,2025-09-05,,7.0,,,Light Yellow Orange / Yellow (1-3),1.0,4.0,3.0,,1.0,9.0,5.0,1.0,3.0,1.0,Green,More Green than Brown,2.4,2.01,16.25,,51.0,66.0,20.1,0.47,0.44,0.31,0.41,8.93,9.88,10.35,9.72,40.5,38.5,36.0,38.33,0.0,13.0
Immature,B,Ripe,R35,IM_CB_RI_35,13D,101.0,Disease,2025-09-05,,,,,,1.0,,,4.5,,9.0,1.0,1.0,5.0,5.0,Green,,2.93,,,,56.3,69.6,21.3,,,,,9.55,9.68,8.95,9.39,,,,,0.0,13.0
Immature,B,Overripe,R36,IM_CB_OR_36,13D,101.0,Overripe,2025-09-05,,,,8.0,,1.0,4.0,4.0,3.5,5.0,9.0,3.0,1.0,3.0,2.0,Green,Brown and Yellow Green w/ Orange Bottom,2.26,1.57,30.53,33.99,53.4,60.6,20.6,,,,,,,,,,,,,0.0,13.0
Immature,B,Overripe,R37,IM_CB_OR_37,13D,101.0,Overripe,2025-09-05,,,,8.0,"1 - Yellow, 2 - Yellow, 3 - Yellow",1.0,5.0,3.0,,2.0,9.0,2.0,1.0,2.0,1.0,Green,"Ashen Grey, Yellow Spots and in Sutures, Orange Bottom",2.15,1.52,29.3,,56.1,59.2,21.7,0.5,0.29,0.21,0.34,,,,,,,,,0.0,13.0
Immature,B,Overripe,R38,IM_CB_OR_38,18D,101.0,Overripe,2025-09-05,,,,15.0,Yellow,1.0,3.0,2.0,3.5,,8.0,2.0,1.0,5.0,3.0,Green,More Brown than Green with Yellow Orange,2.53,1.66,34.39,,55.8,62.7,21.1,,,,,6.63,5.83,5.95,6.14,28.5,27.0,27.5,27.67,0.0,18.0
Immature,B,Overripe,R39,IM_CB_OR_39,13D,101.0,Overripe,2025-09-05,,,,8.0,Yellow (1-3),1.0,4.0,3.0,,2.0,8.0,5.0,1.0,4.0,1.0,Green,More Green than Brown,2.14,1.65,22.9,,52.4,60.4,19.6,,,,,6.93,8.03,6.93,7.3,30.0,32.5,29.5,30.67,0.0,13.0
Immature,B,Overripe,R40,IM_CB_OR_40,13D,101.0,Overripe,2025-09-05,,,,8.0,"1 - Bright, 2 - Yellow",1.0,5.0,5.0,3.0,2.0,8.0,4.0,1.0,3.0,2.0,Green,"Ashen Brown w/ Green Spots, Orange Bottom",2.05,1.31,36.1,,51.1,64.1,16.25,0.44,0.4,0.29,0.38,7.53,7.65,8.98,8.05,43.0,39.5,36.5,39.67,0.0,13.0
Immature,B,Overripe,R41,IM_CB_OR_41,18D,101.0,Overripe,2025-09-05,,,,15.0,Yellow,1.0,4.0,5.0,3.0,,8.0,3.0,1.0,5.0,1.0,Green,More Brown than Green with Yellow Orange near Dehised part (15-20%),2.8,1.38,50.71,,51.1,59.0,20.8,0.24,0.49,0.42,0.38,6.8,5.5,6.38,6.23,27.5,41.5,39.5,36.17,0.0,18.0
Immature,B,Overripe,R42,IM_CB_OR_42,13D,101.0,Ripe,2025-09-05,,13.0,,,"Light Yellow (1), Yellow (2-3)",1.0,2.0,4.0,4.5,1.0,8.0,3.0,1.0,4.0,3.0,Green,Yellow Green Bottom w/ Ashen Green and tinge of Brown,1.83,1.34,26.78,,50.3,56.9,20.6,0.55,0.78,0.29,0.54,6.55,8.4,9.03,7.99,27.5,31.0,29.5,29.33,0.0,13.0
Immature,C,Unripe,R43,IM_CC_UN_43,18D,101.0,Unripe,2025-09-05,,,,,Light Yellow,1.0,,1.0,3.5,1.0,,,1.0,,1.0,Green,,1.61,,,,51.3,50.8,14.0,11.54,10.66,10.95,11.05,3.18,3.43,3.68,3.43,26.0,27.5,28.5,27.33,0.0,18.0
Immature,C,Unripe,R44,IM_CC_UN_44,18D,101.0,Unripe,2025-09-05,,,,,"Light Yellow (1-2), creamy white (3)",1.0,,1.0,3.0,1.0,,,1.0,,1.0,Green,,1.37,,,,47.3,54.6,15.0,11.71,11.94,10.04,11.23,2.93,3.4,3.28,3.2,26.5,27.5,25.5,26.5,0.0,18.0
